org_id,name,org_type,org_type_code,source_dataset,source_url
BJ-IFU-6201300688700,Commune de Avrankou Benin,Government,10,avrankou-org,https://rsr.akvo.org/organisation/4639/iati-org/
UG-NGB-5914-129,AVSI Foundation,International NGO,21,avsi_uganda-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/avsi_uganda-org.xml
LB-MOI-853,AVT-L Association of Victims of Terrorism Lebanon,National NGO,22,avt-l-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/avt-l-org.xml
NL-KVK-34106722,AWEPA,International NGO,21,awepa-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/awepa-org.xml
US-EIN-521291786,Association for Women's Rights in Development (AWID),International NGO,21,awid-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/awid-org.xml
BE-BCE_KBO-0463729878,BENELUX AFRO CENTER,National NGO,22,bac-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/bac-org.xml
NP-DAO-DANG-18-046/47,Backward Society Education (BASE),National NGO,22,base_22-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/base_22-org.xml
GB-CHC-1079599,BasicNeeds,International NGO,21,basicneeds-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/basicneeds-org.xml
GB-CHC-1108464,Bees Abroad UK,International NGO,21,bauk-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/bauk-org.xml
GB-CHC-1076235,BBC Media Action,International NGO,21,bbcmediaaction-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/bbcmediaaction-org.xml
MW-CNM-BCM-CF,Baylor College of Medicine Children's Foundation Malawi,National NGO,22,bcm-cf-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/bcm-cf-org.xml
BE-BCE_KBO-0418088113,Broederlijk Delen,National NGO,22,bd-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/bd-org.xml
GB-COH-OC305127,BDO LLP,Private Sector,70,bdo-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/bdo-org.xml
XM-DAC-2-10,Directorate-general Development Cooperation and Humanitarian Aid,Government,10,be-dgd-org2018-2021,http://diplomatie.be/oda/XM-DAC-10-2-org_2018-2021.xml
GB-CHC-1078803,Bees for Development Trust,International NGO,21,beesfordevelopment-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/beesfordevelopment-org.xml
GB-GOV-13,"UK - Department for Business, Energy and Industrial Strategy",Government,10,beis-org,https://science-and-innovation-network.s3.eu-west-2.amazonaws.com/BEIS+Organisation+File.xml
XI-PB-26_AD,Berytech Foundation,National NGO,22,berytech-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/berytech-org.xml
BE-BCE_KBO-0478060441,Beweging voor Internationale Samenwerking - Mouvement pour la Solidarité Internationale,Other,90,bismsi-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/bismsi-org.xml
GB-CHC-297716,Business in the Community,International NGO,21,bitc-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/bitc-org.xml
DAC-1601,Bill and Melinda Gates Organization,Foundation,60,bmgf-org,https://docs.gatesfoundation.org/Documents/bmgf-org.xml
DE-1,Federal Ministry for Economic Cooperation and Development,Government,10,bmz-org,https://teamwork.bmz.de/pub/bscw.cgi/d2024243/IATI_OrgData_BMZ.xml
GB-CHC-1068839,Bond,National NGO,22,bond-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/bond-org.xml
BJ-IFU-6200901944209,Commune de Bopa Benin,Government,10,bopa-org,https://rsr.akvo.org/organisation/4645/iati-org/
NL-KVK-50744984,BoP Innovation center,Foundation,60,bopinc-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/bopinc-org.xml
NL-KVK-41210098,Both ENDS,National NGO,22,bothends-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/bothends-org.xml
BD-NAB-002,BRAC,International NGO,21,brac_admin2-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/brac_admin2-org.xml
NL-CCI-20081098,BRAC International,International NGO,21,bracuk-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/bracuk-org.xml
GB-CHC-209131,BRITISH COUNCIL,Other Public Sector,15,britishcouncil-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/britishcouncil-org.xml
CO-RUE-830140714-1,BRUJULA COMUNICACIONES ESTRATEGICAS SAS,Private Sector,70,brujula-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/brujula-org.xml
BE-BCE_KBO-0451516390,BRULOCALIS,Other Public Sector,15,brulocalis-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/brulocalis-org.xml
US-EIN-52-1764268,BSR,International NGO,21,bsr_admin-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/bsr_admin-org.xml
GB-CHC-1141552,Balloon Ventures Foundation,International NGO,21,bvf-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/bvf-org.xml
NP-SWC-27288,Burns Violence Survivors Nepal,National NGO,22,bvs-nepal-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/bvs-nepal-org.xml
US-EIN-042312909,Brigham and Women's Hospital,"Academic, Training and Research",80,bwh-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/bwh-org.xml
BD-NAB-2686,Bangladesh Youth Leadership Center,National NGO,22,bylc-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/bylc-org.xml
XI-IATI-CABI,CABI,Multilateral,40,cabi-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/cabi-org.xml
BE-BCE_KBO-0446340550,Comité pour l'abolition des dettes illégitimes,National NGO,22,cadtm-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/cadtm-org.xml
ML-NIF-084106436R,CAEB Conseils et Appui pour l'Education à la Base,National NGO,22,caeb_mali-org,https://rsr.akvo.org/organisation/632/iati-org/
GB-CHC-285776,Catholic Agency for Overseas Development,International NGO,21,cafod-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/cafod-org.xml
GB-CHC-1105851,Christian Aid,International NGO,21,caid-org1617,http://iati.christianaid.org.uk/CA-Organisation-File-1617.xml
GB-COH-03259922,Crown Agents Limited,Private Sector,70,cal-org,https://aidstream.s3.us-west-2.amazonaws.com/xml/cal-org.xml
